job_title,years_experience,education_level,skills,country,city,industry,company_size,employment_type,work_mode,certifications,annual_salary_usd
Frontend Developer,35,Bachelor's Degree,JavaScript;GraphQL;CI/CD;Git,India,Delhi,Technology,Small (51–200),Full-time,On-site,Data Science Professional (IBM),37600
Security Engineer,2,Bachelor's Degree,AWS;CI/CD;Linux;Docker;SQL,Australia,Melbourne,Telecommunications,Startup (1–50),Full-time,On-site,None,93300
QA Engineer,5,Associate's Degree,Python;Git;REST APIs,United States,Seattle,Insurance,Startup (1–50),Freelance,Hybrid,CISSP (Security),75200
Data Analyst,12,Bootcamp Graduate,TensorFlow;Python;PostgreSQL;SQL;Deep Learning;CI/CD;MongoDB,United States,Atlanta,Automotive,Enterprise (5000+),Contract,Hybrid,CISSP (Security),174800
QA Engineer,2,Master's Degree,Python;CI/CD;Git,United States,Denver,Automotive,Small (51–200),Full-time,Hybrid,PMP (Project Management),76600
Business Analyst,10,Bachelor's Degree,Python;SQL,United Kingdom,Birmingham,E-commerce & Retail,Medium (201–1000),Part-time,Hybrid,AWS Certified Solutions Architect,58500
Business Analyst,7,Bachelor's Degree,SQL;REST APIs;Python,Germany,Cologne,Manufacturing,Startup (1–50),Full-time,Hybrid,Google Cloud Professional,64500
Data Scientist,4,Bachelor's Degree,Rust;TensorFlow;Apache Spark;Python;SQL;Redis,Argentina,Córdoba,Energy & Utilities,Medium (201–1000),Full-time,On-site,CKA (Kubernetes),42200
Senior Data Analyst,0,Bachelor's Degree,PostgreSQL;Python;Machine Learning;Apache Spark,United States,Los Angeles,Consulting,Enterprise (5000+),Full-time,On-site,AWS Certified Solutions Architect,122000
Technical Lead,11,Master's Degree,CI/CD;Git;Java;Scala,United States,Atlanta,Aerospace & Defense,Medium (201–1000),Full-time,Hybrid,Google Cloud Professional,261600
Full Stack Developer,4,Bachelor's Degree,Kafka;Docker;SQL;JavaScript;TypeScript;Node.js;React,Canada,Montreal,Finance & Banking,Startup (1–50),Freelance,Remote,CISSP (Security),116600
Mobile Developer,13,Bootcamp Graduate,C++;Java;React;TypeScript;JavaScript,Brazil,Curitiba,Startups,Enterprise (5000+),Full-time,Hybrid,Google Cloud Professional,64500
Data Scientist,11,Master's Degree,SQL;Deep Learning;Machine Learning;PyTorch;Kafka;TensorFlow,Japan,Tokyo,Technology,Large (1001–5000),Full-time,On-site,PMP (Project Management),170300
Data Analyst,5,Bootcamp Graduate,Python;SQL;PostgreSQL;MongoDB;GraphQL;Rust;Machine Learning;Git,Switzerland,Geneva,Telecommunications,Enterprise (5000+),Freelance,On-site,None,114600
DevOps Engineer,4,Bachelor's Degree,Docker;Python;Linux;CI/CD;AWS;Kubernetes,Australia,Sydney,Education & Research,Startup (1–50),Full-time,Remote,None,81200
Full Stack Developer,4,Bachelor's Degree,SQL;JavaScript;GCP;Git;Docker;CI/CD;MongoDB;React,Poland,Wrocław,Telecommunications,Startup (1–50),Full-time,Remote,Salesforce Certified,53700
Frontend Developer,1,Associate's Degree,TypeScript;GraphQL;Git,Canada,Montreal,Technology,Large (1001–5000),Full-time,On-site,Data Science Professional (IBM),83200
Project Manager,8,Associate's Degree,SQL;Git,United States,Austin,Startups,Small (51–200),Part-time,Hybrid,CKA (Kubernetes),57000
Engineering Manager,12,Bachelor's Degree,Python;Kubernetes;AWS;Azure;Docker;CI/CD;Kafka;Deep Learning,United States,New York,Finance & Banking,Startup (1–50),Part-time,Remote,CompTIA Security+,145700
Data Science Manager,3,Master's Degree,Machine Learning;Python;Apache Spark;MongoDB;SQL;C++,Poland,Wrocław,Energy & Utilities,Small (51–200),Part-time,Remote,None,51200
Systems Architect,18,Bachelor's Degree,Kubernetes;Linux;AWS;GCP,Australia,Melbourne,E-commerce & Retail,Large (1001–5000),Contract,Hybrid,PMP (Project Management),349600
Mobile Developer,8,Bachelor's Degree,Git;Java;JavaScript;TypeScript,Singapore,Singapore City,Media & Entertainment,Enterprise (5000+),Full-time,Remote,None,129800
Cybersecurity Analyst,8,Bachelor's Degree,Linux;GCP,United States,Boston,Automotive,Small (51–200),Full-time,On-site,None,123900
Software Engineer,13,Bachelor's Degree,Python;C++;Java;SQL;Docker;Git,Germany,Munich,Energy & Utilities,Large (1001–5000),Internship,Remote,None,58100
Security Engineer,10,Bachelor's Degree,Python;Deep Learning;CI/CD;Linux,Australia,Perth,Healthcare & Pharma,Startup (1–50),Full-time,On-site,None,136300
Engineering Manager,9,Bootcamp Graduate,Docker;Python;CI/CD;AWS,Argentina,Buenos Aires,Education & Research,Small (51–200),Freelance,On-site,None,70100
Network Engineer,14,Bachelor's Degree,AWS;Linux;Azure,Poland,Warsaw,Automotive,Enterprise (5000+),Internship,On-site,CKA (Kubernetes),25900
Software Engineer,10,Master's Degree,Java;C++;Go;Python;Node.js;Git;Docker,Singapore,Singapore City,Technology,Small (51–200),Part-time,On-site,AWS Certified Solutions Architect,100500
Mobile Developer,2,Bachelor's Degree,TypeScript;Machine Learning;JavaScript;Java;React,United States,Atlanta,Telecommunications,Startup (1–50),Internship,On-site,PMP (Project Management),38300
AI/ML Researcher,5,Bachelor's Degree,Python;AWS;TensorFlow;Machine Learning;C++;JavaScript;Deep Learning,United States,San Francisco,Automotive,Medium (201–1000),Full-time,Remote,Google Cloud Professional,179600
Product Manager,12,Master's Degree,REST APIs,United States,Seattle,Media & Entertainment,Medium (201–1000),Full-time,On-site,None,125800
Network Engineer,35,Bachelor's Degree,TypeScript;Rust;Deep Learning;AWS;MongoDB;Linux;Azure,United States,Atlanta,Automotive,Medium (201–1000),Full-time,Remote,Google Cloud Professional,244300
Mobile Developer,4,Master's Degree,GraphQL;Java;C++;Git;React;REST APIs,South Africa,Johannesburg,Startups,Startup (1–50),Contract,Remote,None,50200
Product Manager,7,Bachelor's Degree,REST APIs;Rust;TensorFlow,United States,Chicago,Telecommunications,Enterprise (5000+),Full-time,Hybrid,AWS Certified Solutions Architect;Google Cloud Professional,199200
AI/ML Researcher,7,Bachelor's Degree,Apache Spark;Machine Learning;Python;TensorFlow,UAE,Dubai,Startups,Enterprise (5000+),Full-time,Hybrid,CFA (Finance),241100
Data Science Manager,5,Bachelor's Degree,Apache Spark;Machine Learning;Python;SQL,Australia,Perth,Energy & Utilities,Startup (1–50),Full-time,On-site,Google Cloud Professional,158800
Mobile Developer,2,Master's Degree,Rust;JavaScript;React;Java,United States,Seattle,Manufacturing,Small (51–200),Contract,Hybrid,None,128300
DevOps Engineer,6,Master's Degree,Linux;Apache Spark;AWS;Python;Kubernetes,United States,Boston,Aerospace & Defense,Startup (1–50),Internship,On-site,None,63400
Database Administrator,5,Master's Degree,MongoDB;Linux;Redis,United States,San Francisco,Education & Research,Large (1001–5000),Contract,Remote,None,136800
Network Engineer,4,Bachelor's Degree,AWS;Linux;Azure,Poland,Kraków,Finance & Banking,Small (51–200),Full-time,Hybrid,None,45500
Software Engineer,17,Master's Degree,SQL;Python;REST APIs;Docker;Git,United Kingdom,Leeds,Manufacturing,Startup (1–50),Full-time,Hybrid,None,144000
Site Reliability Engineer,7,Associate's Degree,Kubernetes;Docker;CI/CD;Machine Learning,United States,Boston,Aerospace & Defense,Enterprise (5000+),Full-time,Remote,Data Science Professional (IBM),211800
Backend Developer,16,PhD / Doctorate,C++;AWS;Python;SQL;Linux;PostgreSQL;REST APIs;Java,United States,New York,E-commerce & Retail,Medium (201–1000),Part-time,On-site,CKA (Kubernetes),162500
QA Engineer,16,Bachelor's Degree,Python;SQL;CI/CD;Git,Japan,Osaka,Manufacturing,Startup (1–50),Contract,Hybrid,Google Cloud Professional,87000
AI/ML Researcher,3,Bachelor's Degree,TensorFlow;Python;Deep Learning;Go,Australia,Perth,Aerospace & Defense,Small (51–200),Full-time,Hybrid,Data Science Professional (IBM),168800
Full Stack Developer,4,Bootcamp Graduate,TypeScript;React;Docker;MongoDB;Deep Learning;JavaScript;Node.js;Kafka,India,Pune,Education & Research,Medium (201–1000),Full-time,Remote,PMP (Project Management),20900
Data Engineer,0,High School / GED,C++;PostgreSQL;SQL;AWS;Kafka;Apache Spark;MongoDB,Switzerland,Basel,Technology,Medium (201–1000),Full-time,Hybrid,PMP (Project Management),116600
Data Scientist,4,Bachelor's Degree,PyTorch;SQL;TensorFlow;Python;Machine Learning;Node.js;Apache Spark;React;Go;Deep Learning,United States,Austin,Telecommunications,Enterprise (5000+),Full-time,Hybrid,Google Cloud Professional,170600
Project Manager,3,High School / GED,Git;C++,Australia,Perth,Energy & Utilities,Medium (201–1000),Part-time,Remote,Azure Solutions Architect,35800
Backend Developer,5,Master's Degree,PostgreSQL;Java;AWS;Python;Docker;SQL;Redis,India,Bengaluru,Automotive,Small (51–200),Internship,Hybrid,Google Cloud Professional,9600
Product Manager,7,Bachelor's Degree,PostgreSQL;Git;REST APIs;SQL;Java,Canada,Ottawa,E-commerce & Retail,Large (1001–5000),Full-time,Hybrid,AWS Certified Solutions Architect,169800
Systems Architect,7,Master's Degree,Azure;Kubernetes;Docker;Apache Spark;GCP;AWS;Linux,South Korea,Busan,Manufacturing,Large (1001–5000),Freelance,On-site,None,169200
AI/ML Researcher,14,Bachelor's Degree,Java;Machine Learning;C++;Apache Spark;PyTorch,Netherlands,The Hague,Finance & Banking,Enterprise (5000+),Contract,On-site,CKA (Kubernetes),422000
Data Engineer,27,Master's Degree,TypeScript;Node.js;PostgreSQL;Python;Azure,Japan,Tokyo,Energy & Utilities,Enterprise (5000+),Full-time,On-site,None,230800
Frontend Developer,3,Bachelor's Degree,TypeScript;React;Git,United States,Seattle,Healthcare & Pharma,Small (51–200),Full-time,Remote,CKA (Kubernetes),106600
Full Stack Developer,10,Bachelor's Degree,Node.js;SQL;MongoDB;JavaScript;React,India,Bengaluru,Insurance,Large (1001–5000),Part-time,Hybrid,CISSP (Security);Azure Solutions Architect,21000
Project Manager,27,Master's Degree,Kafka;GCP;TypeScript,Brazil,Rio de Janeiro,Government & Public Sector,Enterprise (5000+),Contract,On-site,CISSP (Security),85500
Security Engineer,8,Bachelor's Degree,Linux;Node.js;Deep Learning;Python,Germany,Munich,Media & Entertainment,Medium (201–1000),Full-time,On-site,None,96900
Senior Software Engineer,33,PhD / Doctorate,CI/CD;Git;React;C++;Docker;Kubernetes;Machine Learning,Switzerland,Basel,Government & Public Sector,Small (51–200),Full-time,On-site,None,344200
Systems Architect,4,Bachelor's Degree,AWS;GraphQL;Docker;GCP;PyTorch,Germany,Berlin,Technology,Large (1001–5000),Full-time,Hybrid,Azure Solutions Architect;Salesforce Certified,170400
Database Administrator,3,PhD / Doctorate,PostgreSQL;Go;MongoDB;Linux,United States,San Francisco,Startups,Startup (1–50),Full-time,On-site,Google Cloud Professional,108600
Engineering Manager,3,Master's Degree,Kubernetes;Python;AWS;Redis;GCP,Argentina,Córdoba,Technology,Medium (201–1000),Full-time,Hybrid,CFA (Finance),58700
DevOps Engineer,3,Bachelor's Degree,GraphQL;Linux;CI/CD;Docker;TypeScript;AWS;React;Kubernetes;GCP,United Kingdom,Birmingham,Government & Public Sector,Enterprise (5000+),Full-time,Remote,PMP (Project Management),151300
Cloud Architect,10,Bachelor's Degree,C++;Kubernetes;AWS;REST APIs;GCP,United Kingdom,Manchester,Energy & Utilities,Small (51–200),Full-time,On-site,None,301600
Machine Learning Engineer,15,Bachelor's Degree,AWS;Kubernetes;Python;Docker;PyTorch;TensorFlow,Canada,Montreal,Consulting,Large (1001–5000),Full-time,Remote,Azure Solutions Architect,312100
Data Science Manager,1,Bachelor's Degree,GCP;Docker;Redis;Apache Spark;SQL;Python,India,Pune,Healthcare & Pharma,Large (1001–5000),Full-time,On-site,CFA (Finance),35200
Systems Architect,3,Master's Degree,GCP;Kubernetes;Azure;Docker,United Kingdom,Manchester,Telecommunications,Enterprise (5000+),Contract,Remote,None,219100
Project Manager,4,Bachelor's Degree,SQL;Rust;JavaScript,France,Marseille,Government & Public Sector,Large (1001–5000),Full-time,Remote,None,70100
Cybersecurity Analyst,7,Bachelor's Degree,AWS;Git;PostgreSQL;CI/CD;Linux,United Kingdom,Edinburgh,Telecommunications,Medium (201–1000),Contract,On-site,None,128900
Frontend Developer,3,Bachelor's Degree,C++;JavaScript;Go;GCP;React;GraphQL;Scala;TypeScript,United States,Seattle,Aerospace & Defense,Medium (201–1000),Full-time,On-site,None,93900
Database Administrator,2,PhD / Doctorate,MongoDB;PostgreSQL;Redis;JavaScript;React;Linux,Brazil,Curitiba,Media & Entertainment,Enterprise (5000+),Full-time,On-site,Google Cloud Professional,38600
Network Engineer,4,Master's Degree,Redis;Azure;Node.js;React,France,Lyon,E-commerce & Retail,Startup (1–50),Full-time,On-site,None,67100
Senior Data Analyst,4,Master's Degree,Linux;SQL;Apache Spark,South Africa,Johannesburg,Healthcare & Pharma,Enterprise (5000+),Full-time,On-site,Salesforce Certified,43100
Full Stack Developer,5,PhD / Doctorate,JavaScript;Docker;Node.js;MongoDB;TypeScript,Canada,Ottawa,Aerospace & Defense,Enterprise (5000+),Part-time,Remote,CFA (Finance),90300
Senior Software Engineer,3,Associate's Degree,Git;C++;Machine Learning;Redis;Python;CI/CD;Java;Kubernetes,United States,Boston,Energy & Utilities,Startup (1–50),Full-time,Hybrid,None,123100
Data Engineer,5,Bachelor's Degree,Azure;TensorFlow;Kafka;Apache Spark;PostgreSQL;AWS;Python;MongoDB;Java;SQL,Australia,Melbourne,Media & Entertainment,Enterprise (5000+),Freelance,Hybrid,None,142600
Product Manager,12,Bachelor's Degree,REST APIs;Scala;Git;GCP;SQL,United Kingdom,Edinburgh,Telecommunications,Medium (201–1000),Full-time,Hybrid,None,168400
Business Analyst,5,Bachelor's Degree,SQL,Canada,Calgary,Education & Research,Large (1001–5000),Full-time,On-site,CFA (Finance),55800
Full Stack Developer,8,PhD / Doctorate,React;SQL;JavaScript;MongoDB;Apache Spark;TypeScript;Node.js;Docker,Brazil,Rio de Janeiro,Media & Entertainment,Enterprise (5000+),Freelance,Hybrid,CFA (Finance),82000
Frontend Developer,6,Master's Degree,GraphQL;JavaScript;Git;React,United States,New York,Technology,Medium (201–1000),Contract,Hybrid,None,193300
Systems Architect,8,Master's Degree,Docker;Linux;Kubernetes;AWS;Go,Australia,Perth,Consulting,Enterprise (5000+),Part-time,Hybrid,None,159200
DevOps Engineer,6,Bachelor's Degree,Kubernetes;Linux;TensorFlow;Python,Singapore,Singapore City,Consulting,Medium (201–1000),Full-time,On-site,None,143300
Cloud Architect,3,Master's Degree,Terraform;GCP;Docker;React,United States,Austin,E-commerce & Retail,Medium (201–1000),Freelance,On-site,Salesforce Certified,202500
Site Reliability Engineer,8,Master's Degree,CI/CD;Python;Linux;React;Docker;Kubernetes;Apache Spark;AWS,United States,Denver,Startups,Medium (201–1000),Internship,Hybrid,CISSP (Security),98800
Blockchain Developer,9,Master's Degree,Deep Learning;Rust;React;REST APIs,Singapore,Singapore City,Startups,Startup (1–50),Part-time,On-site,None,105900
Solutions Architect,1,Master's Degree,AWS;Docker;Kubernetes;REST APIs;Apache Spark;C++;Azure,France,Marseille,Government & Public Sector,Medium (201–1000),Full-time,Hybrid,None,101500
Engineering Manager,7,Bachelor's Degree,Docker;Python;CI/CD;Apache Spark;AWS;Kubernetes;Linux,India,Hyderabad,Startups,Small (51–200),Full-time,On-site,CompTIA Security+,39500
Site Reliability Engineer,35,Master's Degree,Linux;Machine Learning;Docker;CI/CD;AWS;Kubernetes;Python,India,Mumbai,Manufacturing,Small (51–200),Freelance,On-site,CFA (Finance);CISSP (Security),71400
Cloud Architect,5,Bootcamp Graduate,Kubernetes;Azure;SQL;GCP;Terraform;Docker;AWS,Mexico,Monterrey,Technology,Startup (1–50),Full-time,Hybrid,None,43900
AI/ML Researcher,4,Bachelor's Degree,TensorFlow;Deep Learning;PyTorch;Python,Germany,Frankfurt,Government & Public Sector,Medium (201–1000),Full-time,Hybrid,None,118300
QA Engineer,6,Bachelor's Degree,SQL;REST APIs;CI/CD;Git;Python,France,Paris,Startups,Small (51–200),Full-time,Remote,AWS Certified Solutions Architect,67100
QA Engineer,4,High School / GED,C++;REST APIs;Python;Git,Singapore,Singapore City,Startups,Large (1001–5000),Full-time,Remote,CISSP (Security),83200
Business Analyst,18,PhD / Doctorate,REST APIs,Canada,Vancouver,Telecommunications,Startup (1–50),Full-time,Remote,None,124500
Project Manager,2,Bachelor's Degree,Apache Spark;Git;Redis;CI/CD;Python,United States,Miami,Energy & Utilities,Startup (1–50),Full-time,Hybrid,CKA (Kubernetes);CompTIA Security+,110000
Data Engineer,20,Bachelor's Degree,AWS;PostgreSQL;Python;MongoDB;Apache Spark,Australia,Melbourne,Automotive,Medium (201–1000),Contract,Hybrid,CISSP (Security),278100
Cloud Architect,10,Master's Degree,Terraform;GCP;TensorFlow;Azure;Git,Australia,Adelaide,Aerospace & Defense,Small (51–200),Full-time,Remote,CompTIA Security+,256000
Data Engineer,6,PhD / Doctorate,React;PostgreSQL;Kafka;Apache Spark;Python;MongoDB;SQL;AWS,Switzerland,Geneva,Government & Public Sector,Enterprise (5000+),Full-time,On-site,CKA (Kubernetes),243800
Solutions Architect,3,Bachelor's Degree,REST APIs;TensorFlow;Git;AWS;Azure;GCP;Kubernetes;Docker,Canada,Montreal,Technology,Small (51–200),Full-time,Remote,Google Cloud Professional,163600
Engineering Manager,17,Bootcamp Graduate,CI/CD;AWS;Docker,South Africa,Cape Town,Aerospace & Defense,Medium (201–1000),Full-time,On-site,CFA (Finance),82500
Data Engineer,3,Master's Degree,Kafka;Deep Learning;PostgreSQL;Apache Spark;AWS;Redis;Java;MongoDB;Python;SQL,United States,Atlanta,Manufacturing,Medium (201–1000),Full-time,Hybrid,None,146700
Database Administrator,5,Master's Degree,SQL;Redis;Kubernetes;MongoDB;Linux;PostgreSQL,India,Delhi,Aerospace & Defense,Small (51–200),Part-time,On-site,Salesforce Certified,23400
AI/ML Researcher,4,Master's Degree,Deep Learning;Python;Machine Learning,France,Marseille,Aerospace & Defense,Small (51–200),Full-time,Hybrid,None,176400
Machine Learning Engineer,2,Master's Degree,JavaScript;Docker;TensorFlow;PyTorch;Kubernetes;Go;Deep Learning;Python;AWS,United States,Austin,Healthcare & Pharma,Startup (1–50),Full-time,Remote,None,186500
Business Analyst,3,Master's Degree,REST APIs;SQL,India,Delhi,Automotive,Startup (1–50),Full-time,On-site,None,11400
Machine Learning Engineer,7,Master's Degree,PyTorch;Azure;Kubernetes;AWS;Deep Learning;Docker;Redis;Python,United States,Miami,Finance & Banking,Medium (201–1000),Full-time,Hybrid,None,258600
Machine Learning Engineer,2,High School / GED,Deep Learning;TensorFlow;Kubernetes;PyTorch;Python,United States,San Francisco,E-commerce & Retail,Startup (1–50),Part-time,Hybrid,None,52600
Technical Lead,6,Bachelor's Degree,Git;CI/CD;Python;Java;Docker,India,Pune,Technology,Enterprise (5000+),Full-time,Hybrid,Google Cloud Professional,50200
UX/UI Designer,9,Bachelor's Degree,JavaScript;TypeScript,Germany,Frankfurt,Finance & Banking,Small (51–200),Full-time,Hybrid,None,90200
QA Engineer,8,Bachelor's Degree,Git;SQL;Python;CI/CD;REST APIs;TypeScript,United States,Austin,Manufacturing,Enterprise (5000+),Freelance,Hybrid,None,122500
Network Engineer,1,Bachelor's Degree,AWS;Python,United States,Miami,Finance & Banking,Medium (201–1000),Part-time,Remote,None,46500
UX/UI Designer,5,Bachelor's Degree,JavaScript;React,United States,Chicago,Government & Public Sector,Small (51–200),Full-time,On-site,CISSP (Security),75900
UX/UI Designer,11,Master's Degree,JavaScript;React;Apache Spark,India,Pune,Media & Entertainment,Medium (201–1000),Full-time,Hybrid,Google Cloud Professional,29900
Cybersecurity Analyst,9,PhD / Doctorate,SQL;Python;Redis;JavaScript;Go,Argentina,Córdoba,Media & Entertainment,Large (1001–5000),Full-time,On-site,Azure Solutions Architect,51200
Data Analyst,2,Bachelor's Degree,Python;AWS;PyTorch,Canada,Vancouver,Finance & Banking,Small (51–200),Full-time,Remote,Google Cloud Professional,74000
Software Engineer,9,Bootcamp Graduate,Java;Docker;Git;REST APIs;Python;C++;SQL,Australia,Adelaide,Education & Research,Enterprise (5000+),Full-time,Remote,None,92100
Engineering Manager,3,Associate's Degree,Docker;PostgreSQL;Kubernetes;AWS;Python;CI/CD,Australia,Perth,Education & Research,Enterprise (5000+),Full-time,Remote,CFA (Finance),137000
Engineering Manager,6,Bachelor's Degree,AWS;Python;Kubernetes,United States,New York,E-commerce & Retail,Enterprise (5000+),Full-time,Remote,None,238000
AI/ML Researcher,5,Bachelor's Degree,Python;Machine Learning;PyTorch;Deep Learning;Docker;C++;TensorFlow,United States,New York,Technology,Large (1001–5000),Full-time,Remote,None,255800
Machine Learning Engineer,5,Master's Degree,GCP;AWS;Python;Apache Spark;Go;PyTorch;Deep Learning;Kubernetes,India,Pune,E-commerce & Retail,Enterprise (5000+),Contract,On-site,CKA (Kubernetes),57300
Senior Data Analyst,3,Bachelor's Degree,Python;PostgreSQL;Apache Spark,United States,Austin,Government & Public Sector,Enterprise (5000+),Full-time,Hybrid,AWS Certified Solutions Architect,99600
Full Stack Developer,8,Master's Degree,React;C++;Node.js;JavaScript;Azure;TypeScript;Python;SQL,United States,Miami,Healthcare & Pharma,Enterprise (5000+),Full-time,Hybrid,CFA (Finance);Data Science Professional (IBM),269200
Data Engineer,3,PhD / Doctorate,Python;PostgreSQL;AWS;Apache Spark;SQL;Kafka;MongoDB;Java,India,Chennai,Insurance,Large (1001–5000),Full-time,On-site,None,42500
Data Science Manager,4,Bachelor's Degree,SQL;Machine Learning,United States,Seattle,Automotive,Medium (201–1000),Full-time,Remote,None,188000
Network Engineer,3,Bachelor's Degree,Linux;Azure;Python,United States,Los Angeles,Education & Research,Enterprise (5000+),Part-time,Remote,CISSP (Security),43300
Cybersecurity Analyst,8,Master's Degree,Linux;AWS;Apache Spark;CI/CD,United States,Austin,Education & Research,Medium (201–1000),Part-time,On-site,Data Science Professional (IBM),95700
Systems Architect,6,Master's Degree,Docker;AWS;Node.js;Kubernetes;Azure;Linux;JavaScript;Java;GCP,Sweden,Gothenburg,Insurance,Enterprise (5000+),Full-time,Hybrid,None,205900
Technical Lead,5,Bachelor's Degree,Docker;Deep Learning;Scala;CI/CD;Kubernetes;Git;AWS;Java;Python,India,Chennai,Media & Entertainment,Startup (1–50),Full-time,Hybrid,None,27500
Database Administrator,4,Master's Degree,SQL;Linux;Docker,Japan,Tokyo,Aerospace & Defense,Large (1001–5000),Full-time,Hybrid,None,96200
Product Manager,7,Master's Degree,SQL;MongoDB,Brazil,Curitiba,Aerospace & Defense,Enterprise (5000+),Part-time,On-site,None,33600
Security Engineer,5,Bachelor's Degree,PostgreSQL;AWS;Azure,United States,Chicago,Insurance,Enterprise (5000+),Contract,On-site,PMP (Project Management),195300
Site Reliability Engineer,2,Bootcamp Graduate,Redis;Python;Docker;JavaScript;AWS,India,Hyderabad,Finance & Banking,Enterprise (5000+),Freelance,Remote,CFA (Finance),39500
Product Manager,0,PhD / Doctorate,SQL;REST APIs;TensorFlow;Git,Australia,Sydney,Aerospace & Defense,Medium (201–1000),Contract,Remote,Data Science Professional (IBM),149600
Frontend Developer,5,Associate's Degree,TypeScript;Go;React;Git,United States,New York,Automotive,Small (51–200),Full-time,On-site,None,86500
Full Stack Developer,4,Bachelor's Degree,React;SQL;MongoDB;Docker;CI/CD;JavaScript,United States,Chicago,Energy & Utilities,Large (1001–5000),Full-time,Hybrid,AWS Certified Solutions Architect,152300
Senior Data Analyst,1,Bachelor's Degree,Machine Learning;SQL;PostgreSQL,Poland,Warsaw,Media & Entertainment,Small (51–200),Full-time,Hybrid,None,32400
Mobile Developer,1,High School / GED,JavaScript;TensorFlow;TypeScript;Java;React,United Kingdom,Edinburgh,E-commerce & Retail,Large (1001–5000),Contract,On-site,None,84600
Project Manager,5,Bachelor's Degree,Git;Docker;SQL;MongoDB,United States,Chicago,Government & Public Sector,Large (1001–5000),Contract,Remote,CISSP (Security),150000
Backend Developer,8,Bachelor's Degree,Redis;Kubernetes;Docker;Java;SQL;Node.js,Mexico,Monterrey,Aerospace & Defense,Large (1001–5000),Full-time,On-site,Data Science Professional (IBM),47600
Full Stack Developer,5,Master's Degree,Docker;React;JavaScript;REST APIs;Git;Python;TypeScript,Canada,Calgary,Telecommunications,Large (1001–5000),Full-time,Hybrid,None,123800
Product Manager,3,Bachelor's Degree,Redis;Kubernetes;MongoDB;Git;TypeScript,Canada,Toronto,Energy & Utilities,Startup (1–50),Full-time,Hybrid,CISSP (Security),109900
Database Administrator,1,Master's Degree,SQL;Linux;Machine Learning;MongoDB;PostgreSQL,United States,Seattle,Finance & Banking,Medium (201–1000),Full-time,Remote,PMP (Project Management),142500
Blockchain Developer,4,High School / GED,TensorFlow;Python,Singapore,Singapore City,Aerospace & Defense,Medium (201–1000),Freelance,On-site,None,111000
Data Scientist,13,Bachelor's Degree,Deep Learning;SQL;TypeScript;TensorFlow;Redis;PyTorch;JavaScript;Machine Learning,Singapore,Singapore City,Startups,Enterprise (5000+),Full-time,Remote,CISSP (Security),223500
Senior Software Engineer,3,High School / GED,C++;Kubernetes;Python;Docker;Java;Git,Switzerland,Geneva,Consulting,Startup (1–50),Full-time,Hybrid,AWS Certified Solutions Architect,129400
Data Scientist,1,Bachelor's Degree,SQL;Deep Learning;GraphQL;PyTorch;TensorFlow;Kafka,United States,Seattle,Telecommunications,Enterprise (5000+),Contract,On-site,Azure Solutions Architect,167300
Product Manager,35,PhD / Doctorate,Java,United States,Seattle,Education & Research,Startup (1–50),Freelance,Remote,CompTIA Security+,247400
QA Engineer,28,Master's Degree,REST APIs;Scala;Git;Python;SQL,United States,Atlanta,E-commerce & Retail,Medium (201–1000),Contract,Remote,AWS Certified Solutions Architect,281500
Machine Learning Engineer,3,Master's Degree,Docker;JavaScript;Deep Learning;Machine Learning;Kubernetes;TensorFlow;Python;MongoDB;PyTorch;AWS,United States,San Francisco,Insurance,Medium (201–1000),Full-time,Remote,Data Science Professional (IBM),196500
Network Engineer,9,PhD / Doctorate,Linux;AWS;Python;Azure,Argentina,Buenos Aires,Education & Research,Large (1001–5000),Contract,Hybrid,None,46900
Mobile Developer,3,PhD / Doctorate,Java;React;TypeScript;Git,South Korea,Busan,Education & Research,Medium (201–1000),Full-time,Hybrid,None,61600
Blockchain Developer,35,Master's Degree,REST APIs;Go,India,Pune,Finance & Banking,Enterprise (5000+),Full-time,On-site,AWS Certified Solutions Architect,76600
Backend Developer,4,Bachelor's Degree,Docker;SQL;PostgreSQL;Redis;Python;Deep Learning;Go;Node.js;Java;Scala,India,Mumbai,Technology,Enterprise (5000+),Contract,Hybrid,Google Cloud Professional,43500
Frontend Developer,4,Bachelor's Degree,JavaScript;React;Git,Canada,Vancouver,Government & Public Sector,Startup (1–50),Full-time,Remote,Data Science Professional (IBM),61400
Blockchain Developer,16,Bachelor's Degree,Go;Rust;SQL;Python,United States,Austin,Finance & Banking,Startup (1–50),Full-time,On-site,None,232000
Cybersecurity Analyst,2,PhD / Doctorate,Machine Learning;AWS;Python;Linux,Netherlands,The Hague,Energy & Utilities,Enterprise (5000+),Full-time,Hybrid,Google Cloud Professional,144300
Project Manager,4,Master's Degree,Git;SQL,Singapore,Singapore City,Finance & Banking,Startup (1–50),Full-time,On-site,None,110600
Data Analyst,15,Master's Degree,Git;AWS;GraphQL;Python;PostgreSQL;SQL;Deep Learning;MongoDB,United States,Austin,Aerospace & Defense,Medium (201–1000),Part-time,Hybrid,None,98000
Cybersecurity Analyst,2,Bachelor's Degree,Linux;Python;AWS;CI/CD,India,Chennai,Media & Entertainment,Medium (201–1000),Contract,Hybrid,None,19800
Security Engineer,6,Master's Degree,AWS;MongoDB;Java;CI/CD;Linux;Docker;Python,Argentina,Buenos Aires,Insurance,Enterprise (5000+),Full-time,Remote,None,63100
